,SecurityDescription,Ticker,AssetClass,Sector,Type,SharesPar,PriceBase,PriceLocal,Value,PctofPortfolio,Currency_trades,TradeData,EffectiveDate,filename,first_word_SecurityDescription,first_word_LongName,Symbol,ExchangeRate,Exchange,Ticker_to_CAD,Ticker_from_CAD,EXPIRY_DATE,STRIKE,OptPC,RATE_Q,RATE,HVOL_trades,TERM_DAYS,TERM_YEARS,SymbolYahoo,RISK_MULTIPLIER,RISK_UNITS,Country,exp_codes,parse_handle,parse_cents,OptionTicker,TickerYahoo,CADUSD=X,CADHKD=X,CADBRL=X,CADEUR=X,CADSEK=X,CADJPY=X,CADCHF=X,USD,HKD,BRL,EUR,SEK,JPY,CHF,UNDERLYING_SPOT,HVOL,Currency,PRICE_PUT,PRICE_CALL,DELTA_PUT,DELTA_CALL,DELTA,PRICE,DELTA_POS,DELTA_DOLLARS,GAMMA,GAMMA_MOVE_PCT,GAMMA_MOVE_PRICE,VaR_025,POSVaR_025,WEIGHT_RISK_POSVaR025,WEIGHT_DELTA_DOLLARS
10,Spdr S&P 500 ETF Trust Put 440 10/15/21,SPY US 10/15/21 P440 Equity,Option,Equity Index,Buy A Put Option,500,6.36,5.04,319287.0,0.0113,USD,2021-09-01,2021-09-02,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2616100311279297,PCX,USDCAD=X,CADUSD=X,2021-10-15,440.0,P,0.01,0.01,0.2,44,0.12054794520547946,SPY,100,50000,United States,211015,00440,000,SPY211015P00440000,SPY211015P00440000,0.7926379442214966,6.1643500328063965,4.079922199249268,0.6710500121116638,6.831600189208984,87.2239990234375,0.7254300117492676,1.2616100311279297,0.16219699382781982,,1.4899100065231323,0.14630800485610962,0.011459999717772007,1.378159999847412,451.79998779296875,0.10372379789684458,USD,2.1602667583288166,13.965558628916767,-0.22566119975115911,0.7743388002488409,-0.22566119975115911,2.1602667583288166,-11283.059987557956,-4040619.7151813097,0.018463400281381857,-0.025,-11.29499969482422,3.2137209099884148,160686.04549942072,-6.479566514658312e-190,-7.099453079720866e-95
11,Spdr S&P 500 ETF Trust Put 400 06/18/21,SPY US 06/18/21 P400 Equity,Option,Equity Index,Buy A Put Option,300,10.13,8.08,303793.0,0.0108,USD,2021-04-09,2021-04-13,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2562199831008911,PCX,USDCAD=X,CADUSD=X,2021-06-18,400.0,P,0.01,0.01,0.2,70,0.1917808219178082,SPY,100,30000,United States,210618,00400,000,SPY210618P00400000,SPY210618P00400000,0.7960389256477356,6.189680099487305,4.42943000793457,0.6676999926567078,6.794000148773193,87.01399993896484,0.7351999878883362,1.2562199831008911,0.16153599321842194,,1.4968600273132324,0.14711600542068481,0.011486999690532684,1.359220027923584,410.1481628417969,0.13786679457817536,USD,5.506302776531982,15.662136777646253,-0.3279892118659281,0.6720107881340719,-0.3279892118659281,5.506302776531982,-9839.676355977843,-3212594.3183934027,0.014588650090874454,-0.025,-10.253704071044922,4.223707706916043,126711.2312074813,-5.109552906173691e-190,-5.644595194623105e-95
12,Spdr S&P 500 ETF Trust Put 410 09/17/21,SPY US 09/17/21 P410 Equity,Option,Equity Index,Buy A Put Option,200,14.91,12.32,298787.0,0.0106,USD,2021-06-03,2021-06-04,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2037999629974365,PCX,USDCAD=X,CADUSD=X,2021-09-17,410.0,P,0.01,0.01,0.2,106,0.29041095890410956,SPY,100,20000,United States,210917,00410,000,SPY210917P00410000,SPY210917P00410000,0.8307027816772461,6.442397117614746,4.2135090827941895,0.6801400184631348,6.866199970245361,91.01799774169922,0.7459099888801575,1.2037999629974365,0.15517500042915344,,1.4700499773025513,0.14555099606513977,0.010982000268995762,1.340309977531433,417.4044189453125,0.13777667068524738,USD,8.898131851966326,16.314457473701566,-0.3902839555849702,0.6097160444150298,-0.3902839555849702,8.898131851966326,-7805.679111699404,-2706533.5223800726,0.012382799722865483,-0.025,-10.435110473632813,4.901863346771297,98037.26693542593,-3.953292832921788e-190,-4.7554358255084555e-95
13,Spdr S&P 500 ETF Trust Put 425 09/07/21,SPY US 09/07/21 P425 Equity,Option,Equity Index,Buy A Put Option,500,5.93,4.73,297851.0,0.0106,USD,2021-08-03,2021-08-04,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2501100301742554,PCX,USDCAD=X,CADUSD=X,2021-09-07,425.0,P,0.01,0.01,0.2,35,0.0958904109589041,SPY,100,50000,United States,210907,00425,000,SPY210907P00425000,SPY210907P00425000,0.7999295592308044,6.217800140380859,4.137619972229004,0.6735900044441223,6.872799873352051,87.4000015258789,0.7240899801254272,1.2501100301742554,0.1608009934425354,,1.4842599630355835,0.14543500542640686,0.011436999775469303,1.3807100057601929,441.1499938964844,0.10796340734554741,USD,0.9625098839797772,17.11657910339062,-0.12869759033570566,0.8713024096642943,-0.12869759033570566,0.9625098839797772,-6434.879516785283,-2270797.762624736,0.014243673018333586,-0.025,-11.02874984741211,1.7732543175060984,88662.71587530492,-3.575269794578153e-190,-3.989839011258212e-95
14,Spdr S&P 500 ETF Trust Put 360 02/19/21,SPY US 02/19/21 P360 Equity,Option,Equity Index,Rebook - Buy A Put Option,300,9.8,7.67,294988.0,0.0105,USD,2021-01-04,2021-01-06,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2722100019454956,PCX,USDCAD=X,CADUSD=X,2021-02-19,360.0,P,0.01,0.01,0.2,46,0.12602739726027398,SPY,100,30000,United States,210219,00360,000,SPY210219P00360000,SPY210219P00360000,0.7860337495803833,6.0932488441467285,4.085498809814453,0.641510009765625,6.441100120544434,81.13400268554688,0.6940400004386902,1.2722100019454956,0.1640850007534027,,1.5584299564361572,0.15517500042915344,0.01232299953699112,1.440440058708191,366.38739013671875,0.1822626632727628,USD,6.522002935663608,12.913930030094633,-0.38042790444425933,0.6195720955557407,-0.38042790444425933,6.522002935663608,-11412.83713332778,-3286815.5453430726,0.01606661148093105,-0.025,-9.159684753417968,4.431960338514509,132958.81015543526,-5.361482706443701e-190,-5.7750034377618315e-95
15,Spdr S&P 500 ETF Trust Put 370 04/16/21,SPY US 04/16/21 P370 Equity,Option,Equity Index,Buy A Put Option,160,18.18,14.2,291402.0,0.0103,USD,2021-01-28,2021-01-29,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.281599998474121,PCX,USDCAD=X,CADUSD=X,2021-04-16,370.0,P,0.01,0.01,0.2,78,0.2136986301369863,SPY,100,16000,United States,210416,00370,000,SPY210416P00370000,SPY210416P00370000,0.7802746295928955,6.046542167663574,4.221261024475098,0.6445599794387817,6.527500152587891,81.23999786376953,0.6930999755859375,1.281599998474121,0.1653289943933487,,1.5512399673461914,0.15311400592327118,0.01230200007557869,1.4411699771881104,375.1698303222656,0.1563912316479278,USD,8.35251540662125,13.530252493718422,-0.40967762318146567,0.5903223768185344,-0.40967762318146567,8.35251540662125,-6554.841970903451,-1918835.0132186506,0.014329914916952685,-0.025,-9.37924575805664,4.923542844074014,78776.68550518421,-3.176621665862084e-190,-3.37143312271843e-95
16,Spdr S&P 500 ETF Trust Put 430 09/17/21,SPY US 09/17/21 P430 Equity,Option,Equity Index,Buy A Put Option,600,4.71,3.75,284311.0,0.0101,USD,2021-08-16,2021-08-17,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2516000270843506,PCX,USDCAD=X,CADUSD=X,2021-09-17,430.0,P,0.01,0.01,0.2,32,0.08767123287671233,SPY,100,60000,United States,210917,00430,000,SPY210917P00430000,SPY210917P00430000,0.7989773154258728,6.214852809906006,4.1877288818359375,0.6771900057792664,6.898799896240234,87.55000305175781,0.7307000160217285,1.2516000270843506,0.1608400046825409,,1.4763100147247314,0.14482000470161438,0.0114139998331666,1.3672900199890137,446.9700012207031,0.1045744374751333,USD,0.686160989404506,17.659932056595892,-0.10278972281388488,0.8972102771861151,-0.10278972281388488,0.686160989404506,-6167.383368833092,-2202489.047813108,0.012937353606385768,-0.025,-11.174250030517578,1.436650221412139,86199.01328472834,-3.4759224943296415e-190,-3.869819175211992e-95
17,Spdr S&P 500 ETF Trust Put 430 09/17/21,SPY US 09/17/21 P430 Equity,Option,Equity Index,Buy A Put Option,200,12.05,9.56,241542.0,0.0086,USD,2021-07-15,2021-07-16,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2515499591827393,PCX,USDCAD=X,CADUSD=X,2021-09-17,430.0,P,0.01,0.01,0.2,64,0.17534246575342466,SPY,100,20000,United States,210917,00430,000,SPY210917P00430000,SPY210917P00430000,0.7990092635154724,6.203908920288086,4.0487799644470215,0.6748999953269958,6.884799957275391,87.86499786376953,0.7307500243186951,1.2515499591827393,0.16114600002765656,,1.4805999994277954,0.1451449990272522,0.011374999769032001,1.3681199550628662,434.75,0.10713443118693672,USD,5.5903202646235,10.347859924549567,-0.3944620429268561,0.6055379570731438,-0.3944620429268561,5.5903202646235,-7889.240858537122,-2740479.8650536495,0.019734922971097087,-0.025,-10.86875,5.363665305058688,107273.30610117376,-4.3257304638339766e-190,-4.8150802573102665e-95
18,Spdr S&P 500 ETF Trust Put 360 02/19/21,SPY US 02/19/21 P360 Equity,Option,Equity Index,Buy A Put Option,110,15.45,12.02,170246.0,0.006,USD,2020-12-21,2020-12-22,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.281059980392456,PCX,USDCAD=X,CADUSD=X,2021-02-19,360.0,P,0.01,0.01,0.2,60,0.1643835616438356,SPY,100,11000,United States,210219,00360,000,SPY210219P00360000,SPY210219P00360000,0.7806035876274109,6.050570011138916,3.9872419834136963,0.6389099955558777,6.4653000831604,80.74700164794922,0.6911600232124329,1.281059980392456,0.16524100303649902,,1.5648800134658813,0.15459999442100525,0.012382999993860722,1.4464800357818604,365.46343994140625,0.1817553439555025,USD,8.148929106005966,13.618286806992103,-0.40459745934347024,0.5954025406565298,-0.40459745934347024,8.148929106005966,-4450.572052778172,-1269668.3972729424,0.014387618892132262,-0.025,-9.136585998535157,4.7346712494385645,52081.38374382421,-2.100149948271455e-190,-2.2308338444661513e-95
19,Spdr S&P 500 ETF Trust Put 370 04/16/21,SPY US 04/16/21 P370 Equity,Option,Equity Index,Buy A Put Option,160,10.43,8.21,167356.0,0.0059,USD,2021-02-10,2021-02-11,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2697099447250366,PCX,USDCAD=X,CADUSD=X,2021-04-16,370.0,P,0.01,0.01,0.2,65,0.1780821917808219,SPY,100,16000,United States,210416,00370,000,SPY210416P00370000,SPY210416P00370000,0.7875814437866211,6.104219913482666,4.233993053436279,0.6496999859809875,6.555600166320801,82.3550033569336,0.7028499841690063,1.2697099447250366,0.16378900408744812,,1.538450002670288,0.1524689942598343,0.012137000449001789,1.4224200248718262,387.5386962890625,0.15478862767788248,USD,3.477794634728866,21.023079906218015,-0.22906174871912766,0.7709382512808723,-0.22906174871912766,3.477794634728866,-3664.9879795060424,-1118621.3586760848,0.01196772150444739,-0.025,-9.688467407226563,2.81711922488542,45073.90759816672,-1.8175777582312635e-190,-1.9654410485739355e-95
20,Spdr S&P 500 ETF Trust Put 375 06/18/21,SPY US 06/18/21 P375 Equity,Option,Equity Index,Buy A Put Option,140,10.94,8.69,153487.0,0.0054,USD,2021-03-23,2021-03-24,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.252079963684082,PCX,USDCAD=X,CADUSD=X,2021-06-18,375.0,P,0.01,0.01,0.2,87,0.23835616438356164,SPY,100,14000,United States,210618,00375,000,SPY210618P00375000,SPY210618P00375000,0.7986710071563721,6.201990127563477,4.394617080688477,0.6692100167274475,6.79640007019043,86.87000274658203,0.737339973449707,1.252079963684082,0.16120900213718414,,1.4941200017929077,0.14706499874591827,0.011509000323712826,1.3559000492095947,388.2298889160156,0.13838507725606825,USD,4.990606394622247,18.22943356027747,-0.29208071217765486,0.7079192878223451,-0.29208071217765486,4.990606394622247,-4089.129970487168,-1267908.21692754,0.013093961664778097,-0.025,-9.705747222900392,3.548641326376222,49680.97856926711,-2.0033550776133878e-190,-2.22774117090247e-95
21,Spdr S&P 500 ETF Trust Put 370 04/16/21,SPY US 04/16/21 P370 Equity,Option,Equity Index,Buy A Put Option,160,7.96,6.31,127820.0,0.0045000000000000005,USD,2021-02-25,2021-02-26,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2510000467300415,PCX,USDCAD=X,CADUSD=X,2021-04-16,370.0,P,0.01,0.01,0.2,50,0.136986301369863,SPY,100,16000,United States,210416,00370,000,SPY210416P00370000,SPY210416P00370000,0.799360454082489,6.197126865386963,4.31867790222168,0.6566900014877319,6.6107001304626465,84.68599700927734,0.7246099710464478,1.2510000467300415,0.161312997341156,,1.5225600004196167,0.1511320024728775,0.01180300023406744,1.3797199726104736,379.8392028808594,0.15392950508476302,USD,4.4870060651260815,14.331277404420575,-0.31228193025256146,0.6877180697474385,-0.31228193025256146,4.4870060651260815,-4996.510884040983,-1517082.8461121668,0.016354677611523056,-0.025,-9.495980072021485,3.708474323811421,59335.58918098274,-2.392671346100205e-190,-2.6655461892531578e-95
22,Spdr S&P 500 ETF Trust Put 400 06/18/21,SPY US 06/18/21 P400 Equity,Option,Equity Index,Buy A Put Option,200,5.86,4.82,117772.0,0.0042,USD,2021-05-06,2021-05-07,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2267099618911743,PCX,USDCAD=X,CADUSD=X,2021-06-18,400.0,P,0.01,0.01,0.2,43,0.1178082191780822,SPY,100,20000,United States,210618,00400,000,SPY210618P00400000,SPY210618P00400000,0.8151886463165283,6.332446098327637,4.360372066497803,0.6787300109863281,6.9105000495910645,89.01399993896484,0.7441999912261963,1.2267099618911743,0.15789100527763367,,1.4730700254440308,0.1446080058813095,0.011227999813854694,1.3433899879455566,417.7034606933594,0.13969666283522417,USD,1.9555937481493544,19.66376674251842,-0.1768529665558583,0.8231470334441418,-0.1768529665558583,1.9555937481493544,-3537.059331117166,-1204393.8413996904,0.012956751134121518,-0.025,-10.442586517333986,2.2646143696256393,45292.287392512786,-1.8263837898846335e-190,-2.116145088931785e-95
23,Spdr S&P 500 ETF Trust Put 410 06/18/21,SPY US 06/18/21 P410 Equity,Option,Equity Index,Buy A Put Option,200,5.95,4.92,119469.0,0.0042,USD,2021-05-10,2021-05-11,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.211400032043457,PCX,USDCAD=X,CADUSD=X,2021-06-18,410.0,P,0.01,0.01,0.2,39,0.10684931506849316,SPY,100,20000,United States,210618,00410,000,SPY210618P00410000,SPY210618P00410000,0.8254911303520203,6.408718109130859,4.314288139343262,0.6780499815940857,6.85230016708374,89.5979995727539,0.7430899739265442,1.211400032043457,0.1560100018978119,,1.4745099544525146,0.1458660066127777,0.011153999716043472,1.345289945602417,416.5771484375,0.13889872698514158,USD,4.650207847316381,11.23173708332979,-0.35440530054795766,0.6455946994520423,-0.35440530054795766,4.650207847316381,-7088.1060109591535,-2437463.1928044576,0.019671859971622043,-0.025,-10.4144287109375,4.469176092062926,89383.52184125852,-3.604335854334884e-190,-4.282673646778802e-95
