ID,Security Description,Symbol,Country,Sector,Asset Class,Asset Group,Shares/Par,Market Value,% of Portfolio,Book Cost,Price Cost,Price Close,Price Change %,Attribution to Book P&L %,Coupon Rate,CUSIP,ISIN,ESG,environment,Social,Governance,Symbol Unq.
46846,"New Oriental Education & Technology Group Inc., Ad",EDU US Equity,United States,Consumer Staples,Equity,Domestic Stock,"632,447","1,606,186",3%,"3,662,412",5.79,2.54,-56%,0%,0,647581107,US6475811070,-,-,-,-,EDU US Equity
13294,TENCENT HOLDINGS LTD,TCEHY US Equity,United States,Communication Services,Equity,Foreign Stock,"21,320","1,602,041",3%,"1,573,013",73.78,75.14,2%,0%,0,88032Q109,US88032Q1094,-,-,-,-,B3F2DZ7 US Equity
38802,Sabre Corporation,SABR US Equity,United States,Information Technology,Equity,Domestic Stock,"107,729","1,576,939",3%,"1,714,628",15.92,14.64,-8%,0%,0,78573M104,US78573M1045,-,-,-,-,SABR US Equity
49359,Yatsen Holding Ltd,YSG US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,"272,591","1,478,493",3%,"2,094,875",7.69,5.42,-29%,0%,0,985194109,US9851941099,-,-,-,-,YSG US Equity
8739,Aena Sa,AENA SM Equity,Europe,Industrials,Equity,Foreign Stock,"6,255","1,313,648",2%,"1,315,859",210.37,210.02,0%,0,0,,ES0105046009,-,-,-,-,ES0105046009 Equity
38605,Mtu Aero Engines Ag,MTX GR Equity,Europe,Industrials,Equity,Foreign Stock,"4,247","1,258,347",2%,"1,259,117",296.47,296.29,0%,0,0,,DE000A0D9PT0,-,-,-,-,MTX GR Equity
38602,Autogrill S.P.A.,AGL IM Equity,Europe,Consumer Discretionary,Equity,Foreign Stock,"127,048","1,212,546",2%,"1,044,583",8.22,9.54,16%,0%,0,,IT0001137345,-,-,-,-,AGL IM Equity
48704,New Oriental Education & Technology Group Inc,9901 HK Equity,Hong Kong,Consumer Discretionary,Equity,Foreign Stock,"509,900","1,200,019",2%,"1,460,224",2.86,2.35,-18%,0%,0,0,KYG6470A1168,-,-,-,-,9901 HK Equity
49549,Baidu Inc Call 170 12/17/21,BIDU US 12/17/21 C170 Equity,United States,Communication Services,Option,Option,400,"454,327",1%,"394,218",9.86,11.36,15%,0%,0,,BIDUL170U,-,-,-,-,
49548,Alibaba Group Holding Lt Call 180 12/17/21,BABA US 12/17/21 C180 Equity,United States,Consumer Discretionary,Option,Option,500,"269,916",1%,"857,128",17.14,5.40,-69%,0%,0,,BABAL180U,-,-,-,-,
49009,Wynn Resorts Ltd Put 70 03/18/22,WYNN US 03/18/22 P70 Equity,United States,Consumer Discretionary,Option,Option,200,"176,116",0%,"90,857",4.54,8.81,94%,0%,0,,WYNNO70U,-,-,-,-,
38603,Krones AG,KRN GR Equity,Europe,Industrials,Equity,Foreign Stock,"1,081","139,895",0%,"95,237",88.10,129.41,47%,0%,0,,DE0006335003,-,-,-,-,KRN GR Equity
44624,China Tower Corp Ltd,788 HK Equity,Hong Kong,Industrials,Equity,Foreign Stock,"440,000","73,553",0%,"85,072",0.19,0.17,-14%,0%,0,Y15076105,CNE100003688,-,-,-,-,788 HK Equity
49007,Ke Holdings Inc Put 15 10/15/21,BEKE US 10/15/21 P15 Equity,United States,Real Estate,Option,Option,750,"57,429",0%,"131,130",1.75,0.77,-56%,0%,0,,BEKEV15U,-,-,-,-,
47845,Tal Education Group Call 32.5 11/19/21,TAL US 11/19/21 C32.5 Equity,United States,Consumer Discretionary,Option,Option,"5,100","32,543",0%,"1,291,553",2.53,0.06,-97%,0%,0,,TALK325U,-,-,-,-,
50399,SPDR S&P 500 ETF Trust Put 410 10/15/21,SPY US 10/15/21 P410 Equity,,Equity Index,Option,Option,-,-,0,-,-,-,0,0,0,,SPYV410U,-,-,-,-,
49008,Wynn Resorts Ltd Put 50 03/18/22,WYNN US 03/18/22 P50 Equity,United States,Consumer Discretionary,Option,Option,-200,"-42,370",0%,"-21,187",1.06,2.12,100%,0%,0,,WYNNO50U,-,-,-,-,
50399,SPDR S&P 500 ETF Trust Put 410 10/15/21,SPY US 10/15/21 P410 Equity,,Equity Index,Option,Option,"-3,000","-727,434",-1%,"-1,982,755",6.61,2.42,-63%,0%,0,,SPYV410U,-,-,-,-,
